Num_ID	Leaf	Num_ID.x	Directory	Camalexin_Plate	HPLC_Plate_Position	HPLC_Plate	HPLC_Row	HPLC_column	Plate_Position	Plate_Cam	Exp_Tray.x	Geno	Surface.x	Iso	Treatment	Flavo	P3min	Camalexin	Num_ID.y	Genotype	IsoSur	Isolate	Surface.y	Image	Exp_Tray.y	Image_Num	Lesion.0.m.cx	Lesion.0.m.cy	Lesion.0.m.majoraxis	Lesion.0.m.eccentricity	Lesion.0.m.theta	Lesion.0.s.area	Lesion.0.s.perimeter	Lesion.0.s.radius.mean	Lesion.0.s.radius.sd	Lesion.0.s.radius.min	Lesion.Size	Leaf.Size	Lesion.Prop	Leaf.Grn	Leaf.Ylw	Lesion.Grn	Lesion.Ylw	LEFcm	LEScm	LESPropcm	LEFYlwcm	LEFGrncm	Cam_LF	Cam_LP	Flavo_LF	P3_LF	P3_LP
31	T1-Pad3-D-01_04_20	89	CC_FEB142019_CAM1-1HE-4001.D	Cam_P01	P1-H-05	P1	H	5	P1-H-05	Cam_P01-H-5	T1	Pad3	D	01_04_20	Treatment	209.84946	0	0	48	Pad3	01_04_20-D	01_04_20	Down	T1_IMG_4138	T1	4138	2504.588452	1389.332105	63.3927516	0.627724238	-0.113493225	2442	165	27.47907108	2.781734151	21.93403752	2442	18495	0.132035685	2011	9735	0	844	2.324473647	0.306913471	1.66E-05	1.223506405	0.252744877	0	0	90.2782702	0	0
32	T1-Pad3-D-02_04_04	38	CC_FEB142019_CAM1-1DB-1201.D	Cam_P01	P1-D-02	P1	D	2	P1-D-02	Cam_P01-D-2	T1	Pad3	D	02_04_04	Treatment	124.31892	0	0	47	Pad3	02_04_04-D	02_04_04	Down	T1_IMG_4138	T1	4138	845.2810801	1366.699981	106.3896766	0.788875207	-0.041202983	5333	273	41.51539783	7.884744955	27.25665516	5333	22838	0.233514318	3446	13256	129	3376	2.870307064	0.670257797	2.93E-05	1.666029882	0.433097388	0	0	43.31206286	0	0
33	T1-Pad3-D-02_04_08	67	CC_FEB142019_CAM1-1FG-5401.D	Cam_P01	P1-F-07	P1	F	7	P1-F-07	Cam_P01-F-7	T1	Pad3	D	02_04_08	Treatment	166.48566	0	0	49	Pad3	02_04_08-D	02_04_08	Down	T1_IMG_4138	T1	4138	3257.943919	1378.389865	67.16127959	0.896491298	0.017748537	1480	162	22.54166292	6.705631376	10.90788774	1480	17988	0.082277074	2988	13039	0	692	2.260753283	0.186008164	1.03E-05	1.638757063	0.375535402	0	0	73.64167566	0	0
34	T1-Pad3-D-Apple517	16	CC_FEB142019_CAM1-1BD-2601.D	Cam_P01	P1-B-04	P1	B	4	P1-B-04	Cam_P01-B-4	T1	Pad3	D	Apple517	Treatment	146.87563	0	0	46	Pad3	Apple517-D	Apple517	Down	T1_IMG_4138	T1	4138	1659.896993	1399.251759	69.33115797	0.55131894	-0.34372411	3126	189	31.10095219	2.47002092	26.71850383	3126	21894	0.142778844	3840	14623	88	2639	2.751664019	0.392879406	1.79E-05	1.837836072	0.482615778	0	0	53.37702168	0	0
35	T1-Pad3-D-Grape	45	CC_FEB142019_CAM1-1DI-6801.D	Cam_P01	P1-D-09	P1	D	9	P1-D-09	Cam_P01-D-9	T1	Pad3	D	Grape	Treatment	151.96786	0	0	42	Pad3	Grape-D	Grape	Down	T1_IMG_4138	T1	4138	4010.744196	1342.13738	97.03661236	0.738390223	-0.007208525	4695	270	39.0967963	7.490976597	23.60304147	4695	22851	0.205461468	2087	14310	1	757	2.87194092	0.590073197	2.58E-05	1.798497858	0.262296648	0	0	52.91468879	0	0
36	T1-Pad3-U-01_04_20	5	CC_FEB142019_CAM1-1AE-3301.D	Cam_P01	P1-A-05	P1	A	5	P1-A-05	Cam_P01-A-5	T1	Pad3	U	01_04_20	Treatment	168.0632	0	0	43	Pad3	01_04_20-U	01_04_20	Up	T1_IMG_4138	T1	4138	2098.578595	1333.505017	51.66948346	0.692024154	-0.148493901	1495	136	21.52040266	2.906147024	15.8615366	1495	17519	0.085335921	6581	7719	22	1168	2.201808804	0.187893382	1.07E-05	0.970133122	0.827107925	0	0	76.32960669	0	0
37	T1-Pad3-U-02_04_04	49	CC_FEB142019_CAM1-1EA-0501.D	Cam_P01	P1-E-01	P1	E	1	P1-E-01	Cam_P01-E-1	T1	Pad3	U	02_04_04	Treatment	212.47166	0	0	50	Pad3	02_04_04-U	02_04_04	Up	T1_IMG_4138	T1	4138	333.2805979	1416.760044	108.5515343	0.714531674	-0.109038965	6422	277	45.17105545	6.246676415	35.27768519	6422	19827	0.32390175	4707	6005	0	1746	2.491880995	0.807124615	4.07E-05	0.754715558	0.591581371	0	0	85.26557264	0	0
38	T1-Pad3-U-02_04_08	78	CC_FEB142019_CAM1-1GF-4701.D	Cam_P01	P1-G-06	P1	G	6	P1-G-06	Cam_P01-G-6	T1	Pad3	U	02_04_08	Treatment	157.10574	0	0	44	Pad3	02_04_08-U	02_04_08	Up	T1_IMG_4138	T1	4138	2893.466055	1347.462385	31.32070718	0.697759102	-0.219777364	545	79	12.83448991	1.772273837	9.55706262	545	17595	0.030974709	4149	12868	0	345	2.211360574	0.06849625	3.89E-06	1.617265579	0.521451266	0	0	71.04483178	0	0
39	T1-Pad3-U-Apple517	27	CC_FEB142019_CAM1-1CC-1901.D	Cam_P01	P1-C-03	P1	C	3	P1-C-03	Cam_P01-C-3	T1	Pad3	U	Apple517	Treatment	116.36349	15.51571	0	41	Pad3	Apple517-U	Apple517	Up	T1_IMG_4138	T1	4138	1246.265345	1343.775575	52.70569732	0.685160453	0.383517001	1564	140	22.04060296	2.950844665	17.31589013	1564	15998	0.09776222	8544	5874	62	1286	2.010647711	0.196565384	1.23E-05	0.738251322	1.073820105	0	0	57.87363415	7.716772022	0.1108265
40	T1-Pad3-U-Grape	56	CC_FEB142019_CAM1-1EH-6101.D	Cam_P01	P1-E-08	P1	E	8	P1-E-08	Cam_P01-E-8	T1	Pad3	U	Grape	Treatment	151.289	47.77479	0	45	Pad3	Grape-U	Grape	Up	T1_IMG_4138	T1	4138	3645.316456	1407.015823	69.78289753	0.655606727	-0.460376424	2844	190	29.94931031	3.550373965	23.62462974	2844	20475	0.138901099	11628	5321	43	1859	2.573322407	0.35743731	1.75E-05	0.668749623	1.461420901	0	0	58.79131179	18.56541173	0.251446263
